DATE,TICKER,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,XGB,MODEL_TYPE,ET,ADA,FORECAST,RUN_DATE
2024-07-05,PETR4.SA,5,4,1,7,3,2024,36.528343200683594,37.158966064453125,37.3991030883789,36.57,XGBRegressor,,,36.57,2024-07-05
2024-07-08,PETR4.SA,8,0,2,7,3,2024,36.565589904785156,36.528343200683594,36.7509651184082,36.3,XGBRegressor,,,36.3,2024-07-05
2024-07-09,PETR4.SA,9,1,2,7,3,2024,36.3004264831543,36.565589904785156,36.464786529541016,36.03,XGBRegressor,,,36.03,2024-07-05
2024-07-10,PETR4.SA,10,2,2,7,3,2024,36.033729553222656,36.3004264831543,36.2999153137207,35.79,XGBRegressor,,,35.79,2024-07-05
2024-07-03,PETR4.SA,3,2,1,7,3,2024,38.51,38.63,38.39666666666667,,ExtraTreesRegressor,37.1,,37.1,2024-07-05
2024-07-04,PETR4.SA,4,3,1,7,3,2024,37.104441558191034,38.51,38.08148051939701,,ExtraTreesRegressor,36.71,,36.71,2024-07-05
2024-07-05,PETR4.SA,5,4,1,7,3,2024,36.70910417172104,37.104441558191034,37.44118190997069,,ExtraTreesRegressor,36.59,,36.59,2024-07-05
2024-07-08,PETR4.SA,8,0,2,7,3,2024,36.586401039405814,36.70910417172104,36.7999822564393,,ExtraTreesRegressor,36.48,,36.48,2024-07-05
2024-07-09,PETR4.SA,9,1,2,7,3,2024,36.47822095346264,36.586401039405814,36.591242054863166,,ExtraTreesRegressor,36.43,,36.43,2024-07-05
2024-07-10,PETR4.SA,10,2,2,7,3,2024,36.4286401664256,36.47822095346264,36.49775405309802,,ExtraTreesRegressor,36.34,,36.34,2024-07-05
2024-07-03,PETR4.SA,3,2,1,7,3,2024,38.51,38.63,38.39666666666667,,AdaBoostRegressor,,38.3,38.3,2024-07-05
2024-07-04,PETR4.SA,4,3,1,7,3,2024,38.29720588235294,38.51,38.47906862745098,,AdaBoostRegressor,,38.3,38.3,2024-07-05
2024-07-05,PETR4.SA,5,4,1,7,3,2024,38.29720588235294,38.29720588235294,38.36813725490196,,AdaBoostRegressor,,38.3,38.3,2024-07-05
2024-07-08,PETR4.SA,8,0,2,7,3,2024,38.29720588235294,38.29720588235294,38.29720588235294,,AdaBoostRegressor,,38.31,38.31,2024-07-05
2024-07-09,PETR4.SA,9,1,2,7,3,2024,38.311233333333334,38.29720588235294,38.3018816993464,,AdaBoostRegressor,,38.31,38.31,2024-07-05
2024-07-10,PETR4.SA,10,2,2,7,3,2024,38.311233333333334,38.311233333333334,38.30655751633987,,AdaBoostRegressor,,38.3,38.3,2024-07-05
2024-07-03,BRSR6.SA,3,2,1,7,3,2024,11.36,11.35,11.353333333333332,11.31,XGBRegressor,,,11.31,2024-07-05
2024-07-04,BRSR6.SA,4,3,1,7,3,2024,11.306591033935547,11.36,11.338863677978516,11.2,XGBRegressor,,,11.2,2024-07-05
2024-07-05,BRSR6.SA,5,4,1,7,3,2024,11.197260856628418,11.306591033935547,11.287950630187987,11.2,XGBRegressor,,,11.2,2024-07-05
2024-07-08,BRSR6.SA,8,0,2,7,3,2024,11.197260856628418,11.197260856628418,11.233704566955566,11.2,XGBRegressor,,,11.2,2024-07-05
2024-07-09,BRSR6.SA,9,1,2,7,3,2024,11.197260856628418,11.197260856628418,11.197260856628418,11.2,XGBRegressor,,,11.2,2024-07-05
2024-07-10,BRSR6.SA,10,2,2,7,3,2024,11.197260856628418,11.197260856628418,11.197260856628418,11.2,XGBRegressor,,,11.2,2024-07-05
2024-07-03,BRSR6.SA,3,2,1,7,3,2024,11.36,11.35,11.353333333333332,,ExtraTreesRegressor,11.36,,11.36,2024-07-05
2024-07-04,BRSR6.SA,4,3,1,7,3,2024,11.356457756827556,11.36,11.35548591894252,,ExtraTreesRegressor,11.36,,11.36,2024-07-05
2024-07-05,BRSR6.SA,5,4,1,7,3,2024,11.356457756827554,11.356457756827556,11.357638504551703,,ExtraTreesRegressor,11.36,,11.36,2024-07-05
2024-07-08,BRSR6.SA,8,0,2,7,3,2024,11.356457756827554,11.356457756827554,11.356457756827554,,ExtraTreesRegressor,11.36,,11.36,2024-07-05
2024-07-09,BRSR6.SA,9,1,2,7,3,2024,11.356457756827554,11.356457756827554,11.356457756827554,,ExtraTreesRegressor,11.36,,11.36,2024-07-05
2024-07-10,BRSR6.SA,10,2,2,7,3,2024,11.356457756827556,11.356457756827554,11.356457756827554,,ExtraTreesRegressor,11.36,,11.36,2024-07-05
2024-07-03,BRSR6.SA,3,2,1,7,3,2024,11.36,11.35,11.353333333333332,,AdaBoostRegressor,,11.2,11.2,2024-07-05
2024-07-04,BRSR6.SA,4,3,1,7,3,2024,11.195956896551742,11.36,11.301985632183914,,AdaBoostRegressor,,11.19,11.19,2024-07-05
2024-07-05,BRSR6.SA,5,4,1,7,3,2024,11.189128378378369,11.195956896551742,11.248361758310038,,AdaBoostRegressor,,11.14,11.14,2024-07-05
2024-07-08,BRSR6.SA,8,0,2,7,3,2024,11.135601307189567,11.189128378378369,11.173562194039894,,AdaBoostRegressor,,11.1,11.1,2024-07-05
2024-07-09,BRSR6.SA,9,1,2,7,3,2024,11.101247126436776,11.135601307189567,11.141992270668238,,AdaBoostRegressor,,11.08,11.08,2024-07-05
2024-07-10,BRSR6.SA,10,2,2,7,3,2024,11.080066666666664,11.101247126436776,11.105638366764333,,AdaBoostRegressor,,11.06,11.06,2024-07-05
2024-07-03,BOVA11.SA,3,2,1,7,3,2024,121.33,121.08,120.93,120.99568,120.5009048913145,120.94219555133661,2024-07-05
2024-07-04,BOVA11.SA,4,3,1,7,3,2024,,,,120.9102,120.12575215898453,120.7053180617839,2024-07-05
2024-07-05,BOVA11.SA,5,4,1,7,3,2024,,,,120.69728,119.89906082834186,120.55878057071031,2024-07-05
2024-07-08,BOVA11.SA,8,0,2,7,3,2024,,,,120.66332,119.54917831527537,120.46434235993178,2024-07-05
2024-07-09,BOVA11.SA,9,1,2,7,3,2024,,,,120.57436,118.84222609182771,120.1990387053711,2024-07-05
2024-07-10,BOVA11.SA,10,2,2,7,3,2024,,,,120.58751,118.49672588948579,120.08825378684958,2024-07-05
2024-07-03,BCFF11.SA,3,2,1,7,3,2024,8.33,8.44,8.413333333333334,8.232454,8.40086783487711,8.321107378267955,2024-07-05
2024-07-04,BCFF11.SA,4,3,1,7,3,2024,,,,8.136731,8.373037867344646,8.2754916324879,2024-07-05
2024-07-05,BCFF11.SA,5,4,1,7,3,2024,,,,8.136731,8.377752397259176,8.31689802378036,2024-07-05
2024-07-08,BCFF11.SA,8,0,2,7,3,2024,,,,8.136731,8.352275512338538,8.26302182787802,2024-07-05
2024-07-09,BCFF11.SA,9,1,2,7,3,2024,,,,8.136731,8.350961035426561,8.285786283286447,2024-07-05
2024-07-10,BCFF11.SA,10,2,2,7,3,2024,,,,8.136731,8.359810890432666,8.270029164248077,2024-07-05
2024-07-03,TAEE4.SA,3,2,1,7,3,2024,11.56,11.49,11.503333333333332,11.500322,11.486866245914621,11.51550758208313,2024-07-05
2024-07-04,TAEE4.SA,4,3,1,7,3,2024,,,,11.448171,11.437411060123711,11.489034123672509,2024-07-05
2024-07-05,TAEE4.SA,5,4,1,7,3,2024,,,,11.40165,11.419229200091326,11.467466759276947,2024-07-05
2024-07-08,TAEE4.SA,8,0,2,7,3,2024,,,,11.34744,11.39941050560041,11.435394809982135,2024-07-05
2024-07-09,TAEE4.SA,9,1,2,7,3,2024,,,,11.277976,11.384794965001824,11.407368386496474,2024-07-05
2024-07-10,TAEE4.SA,10,2,2,7,3,2024,,,,11.2727995,11.380797575407536,11.387465249052616,2024-07-05
2024-07-03,EGIE3.SA,3,2,1,7,3,2024,44.34,44.45,44.35999999999999,44.1483,44.171143633658005,44.21981460151881,2024-07-05
2024-07-04,EGIE3.SA,4,3,1,7,3,2024,,,,44.05248,44.09920553841991,44.16389477623437,2024-07-05
2024-07-05,EGIE3.SA,5,4,1,7,3,2024,,,,44.050762,43.95788941738817,44.099550531300615,2024-07-05
2024-07-08,EGIE3.SA,8,0,2,7,3,2024,,,,44.081806,44.07721689664502,44.16634102650212,2024-07-05
2024-07-09,EGIE3.SA,9,1,2,7,3,2024,,,,44.081806,43.96831465721778,44.13004028002637,2024-07-05
2024-07-10,EGIE3.SA,10,2,2,7,3,2024,,,,44.081806,43.977521948884444,44.133109377248594,2024-07-05
2024-07-03,BBSE3.SA,3,2,1,7,3,2024,32.83,32.82,32.86,32.76499,32.79482742783012,32.77932068174229,2024-07-05
2024-07-04,BBSE3.SA,4,3,1,7,3,2024,,,,32.878593,32.78793211115317,32.80697005712067,2024-07-05
2024-07-05,BBSE3.SA,5,4,1,7,3,2024,,,,32.921112,32.79248962946819,32.82266210179989,2024-07-05
2024-07-08,BBSE3.SA,8,0,2,7,3,2024,,,,32.985664,32.91105468467045,32.883701222576946,2024-07-05
2024-07-09,BBSE3.SA,9,1,2,7,3,2024,,,,32.91628,32.88142878884365,32.85069741444653,2024-07-05
2024-07-10,BBSE3.SA,10,2,2,7,3,2024,,,,32.940926,32.803838996273285,32.833049736600806,2024-07-05
2024-07-03,CSMG3.SA,3,2,1,7,3,2024,20.05,19.91,20.283333333333335,19.614946,20.040223270600745,19.863072418334937,2024-07-05
2024-07-04,CSMG3.SA,4,3,1,7,3,2024,,,,19.678259,19.99289997875371,19.865957720114007,2024-07-05
2024-07-05,CSMG3.SA,5,4,1,7,3,2024,,,,19.822039,19.967048073232327,19.889445574581675,2024-07-05
2024-07-08,CSMG3.SA,8,0,2,7,3,2024,,,,20.165068,20.140660070682852,20.07724258113745,2024-07-05
2024-07-09,CSMG3.SA,9,1,2,7,3,2024,,,,20.41039,20.215869484321107,20.170872493686694,2024-07-05
2024-07-10,CSMG3.SA,10,2,2,7,3,2024,,,,20.33754,20.26139811527349,20.161764976994068,2024-07-05
2024-07-03,PETR4.SA,3,2,1,7,3,2024,38.51,38.63,38.39666666666667,37.158966,37.10444155819103,37.520204501665695,2024-07-05
2024-07-04,PETR4.SA,4,3,1,7,3,2024,,,,36.528343,36.709104171721044,37.178217751585855,2024-07-05
2024-07-05,PETR4.SA,5,4,1,7,3,2024,,,,36.56559,36.586401039405814,37.14973227551464,2024-07-05
2024-07-08,PETR4.SA,8,0,2,7,3,2024,,,,36.300426,36.47822095346263,37.029960256650085,2024-07-05
2024-07-09,PETR4.SA,9,1,2,7,3,2024,,,,36.03373,36.4286401664256,36.92453435099386,2024-07-05
2024-07-10,PETR4.SA,10,2,2,7,3,2024,,,,35.794743,36.341711884510296,36.81122011703058,2024-07-05
2024-07-03,BRSR6.SA,3,2,1,7,3,2024,11.36,11.35,11.353333333333332,11.306591,11.356457756827556,11.28633522910495,2024-07-05
2024-07-04,BRSR6.SA,4,3,1,7,3,2024,,,,11.197261,11.356457756827556,11.24761566394478,2024-07-05
2024-07-05,BRSR6.SA,5,4,1,7,3,2024,,,,11.197261,11.356457756827554,11.229773306881846,2024-07-05
2024-07-08,BRSR6.SA,8,0,2,7,3,2024,,,,11.197261,11.356457756827554,11.218321913297581,2024-07-05
2024-07-09,BRSR6.SA,9,1,2,7,3,2024,,,,11.197261,11.356457756827554,11.211261760040879,2024-07-05
2024-07-10,BRSR6.SA,10,2,2,7,3,2024,,,,11.197261,11.356457756827554,11.204772494504155,2024-07-05
2024-07-03,BOVA11.SA,3,2,1,7,3,2024,121.33,121.08,120.93,120.99568,120.50090489131453,120.94219555133661,2024-07-05
2024-07-04,BOVA11.SA,4,3,1,7,3,2024,,,,120.9102,120.12575215898455,120.7053180617839,2024-07-05
2024-07-05,BOVA11.SA,5,4,1,7,3,2024,,,,120.69728,119.89906082834186,120.55878057071031,2024-07-05
2024-07-08,BOVA11.SA,8,0,2,7,3,2024,,,,120.66332,119.54917831527537,120.46434235993178,2024-07-05
2024-07-09,BOVA11.SA,9,1,2,7,3,2024,,,,120.57436,118.84222609182775,120.19903870537111,2024-07-05
2024-07-10,BOVA11.SA,10,2,2,7,3,2024,,,,120.58751,118.49672588948579,120.08825378684958,2024-07-05
2024-07-03,BCFF11.SA,3,2,1,7,3,2024,8.33,8.44,8.413333333333334,8.232454,8.40086783487711,8.321107378267955,2024-07-05
2024-07-04,BCFF11.SA,4,3,1,7,3,2024,,,,8.136731,8.373037867344646,8.2754916324879,2024-07-05
2024-07-05,BCFF11.SA,5,4,1,7,3,2024,,,,8.136731,8.377752397259174,8.31689802378036,2024-07-05
2024-07-08,BCFF11.SA,8,0,2,7,3,2024,,,,8.136731,8.35227551233854,8.263021827878022,2024-07-05
2024-07-09,BCFF11.SA,9,1,2,7,3,2024,,,,8.136731,8.350961035426561,8.285786283286447,2024-07-05
2024-07-10,BCFF11.SA,10,2,2,7,3,2024,,,,8.136731,8.359810890432666,8.270029164248077,2024-07-05
2024-07-03,TAEE4.SA,3,2,1,7,3,2024,11.56,11.49,11.503333333333332,11.500322,11.486866245914623,11.51550758208313,2024-07-05
2024-07-04,TAEE4.SA,4,3,1,7,3,2024,,,,11.448171,11.437411060123711,11.489034123672509,2024-07-05
2024-07-05,TAEE4.SA,5,4,1,7,3,2024,,,,11.40165,11.419229200091326,11.467466759276947,2024-07-05
2024-07-08,TAEE4.SA,8,0,2,7,3,2024,,,,11.34744,11.39941050560041,11.435394809982135,2024-07-05
2024-07-09,TAEE4.SA,9,1,2,7,3,2024,,,,11.277976,11.384794965001825,11.407368386496474,2024-07-05
2024-07-10,TAEE4.SA,10,2,2,7,3,2024,,,,11.2727995,11.380797575407536,11.387465249052616,2024-07-05
2024-07-03,EGIE3.SA,3,2,1,7,3,2024,44.34,44.45,44.35999999999999,44.1483,44.171143633658005,44.21981460151881,2024-07-05
2024-07-04,EGIE3.SA,4,3,1,7,3,2024,,,,44.05248,44.0992055384199,44.16389477623437,2024-07-05
2024-07-05,EGIE3.SA,5,4,1,7,3,2024,,,,44.050762,43.957889417388174,44.099550531300615,2024-07-05
2024-07-08,EGIE3.SA,8,0,2,7,3,2024,,,,44.081806,44.07721689664501,44.16634102650212,2024-07-05
2024-07-09,EGIE3.SA,9,1,2,7,3,2024,,,,44.081806,43.96831465721778,44.13004028002637,2024-07-05
2024-07-10,EGIE3.SA,10,2,2,7,3,2024,,,,44.081806,43.97752194888444,44.13310937724859,2024-07-05
2024-07-03,BBSE3.SA,3,2,1,7,3,2024,32.83,32.82,32.86,32.76499,32.79482742783012,32.77932068174229,2024-07-05
2024-07-04,BBSE3.SA,4,3,1,7,3,2024,,,,32.878593,32.78793211115317,32.80697005712067,2024-07-05
2024-07-05,BBSE3.SA,5,4,1,7,3,2024,,,,32.921112,32.79248962946819,32.82266210179989,2024-07-05
2024-07-08,BBSE3.SA,8,0,2,7,3,2024,,,,32.985664,32.91105468467045,32.883701222576946,2024-07-05
2024-07-09,BBSE3.SA,9,1,2,7,3,2024,,,,32.91628,32.88142878884365,32.85069741444653,2024-07-05
2024-07-10,BBSE3.SA,10,2,2,7,3,2024,,,,32.940926,32.80383899627327,32.833049736600806,2024-07-05
2024-07-03,CSMG3.SA,3,2,1,7,3,2024,20.05,19.91,20.283333333333335,19.614946,20.040223270600748,19.863072418334937,2024-07-05
2024-07-04,CSMG3.SA,4,3,1,7,3,2024,,,,19.678259,19.99289997875371,19.865957720114007,2024-07-05
2024-07-05,CSMG3.SA,5,4,1,7,3,2024,,,,19.822039,19.967048073232327,19.889445574581675,2024-07-05
2024-07-08,CSMG3.SA,8,0,2,7,3,2024,,,,20.165068,20.140660070682852,20.07724258113745,2024-07-05
2024-07-09,CSMG3.SA,9,1,2,7,3,2024,,,,20.41039,20.215869484321114,20.170872493686698,2024-07-05
2024-07-10,CSMG3.SA,10,2,2,7,3,2024,,,,20.33754,20.261398115273494,20.161764976994068,2024-07-05
2024-07-03,PETR4.SA,3,2,1,7,3,2024,38.51,38.63,38.39666666666667,37.158966,37.104441558191034,37.5202045016657,2024-07-05
2024-07-04,PETR4.SA,4,3,1,7,3,2024,,,,36.528343,36.70910417172104,37.178217751585855,2024-07-05
2024-07-05,PETR4.SA,5,4,1,7,3,2024,,,,36.56559,36.58640103940582,37.14973227551464,2024-07-05
2024-07-08,PETR4.SA,8,0,2,7,3,2024,,,,36.300426,36.47822095346263,37.029960256650085,2024-07-05
2024-07-09,PETR4.SA,9,1,2,7,3,2024,,,,36.03373,36.4286401664256,36.92453435099386,2024-07-05
2024-07-10,PETR4.SA,10,2,2,7,3,2024,,,,35.794743,36.3417118845103,36.81122011703059,2024-07-05
2024-07-03,BRSR6.SA,3,2,1,7,3,2024,11.36,11.35,11.353333333333332,11.306591,11.356457756827554,11.286335229104948,2024-07-05
2024-07-04,BRSR6.SA,4,3,1,7,3,2024,,,,11.197261,11.356457756827554,11.24761566394478,2024-07-05
2024-07-05,BRSR6.SA,5,4,1,7,3,2024,,,,11.197261,11.356457756827554,11.229773306881846,2024-07-05
2024-07-08,BRSR6.SA,8,0,2,7,3,2024,,,,11.197261,11.356457756827554,11.218321913297581,2024-07-05
2024-07-09,BRSR6.SA,9,1,2,7,3,2024,,,,11.197261,11.356457756827556,11.211261760040879,2024-07-05
2024-07-10,BRSR6.SA,10,2,2,7,3,2024,,,,11.197261,11.356457756827554,11.204772494504155,2024-07-05
